#{"t_start": 1598502398.0228744, "env_id": "openDSS-v0"}
r,l,t
-7089.644091,1,57.896999
-5219.46973,1,57.952849
-5715.226162,1,58.01269
-9237.914656,1,58.06156
-6516.224824,1,58.111426
-5091.227979,1,58.163322
-2000.072316,1,58.217143
-3328.057378,1,58.268039
-1452.835253,1,58.310891
-12708.513922,1,58.355773
-2740.911033,1,58.412621
-813.912074,1,58.472501
-1814.006751,1,58.532301
-3657.101232,1,58.585677
-4174.70237,1,58.630555
-8864.516281,1,58.676431
-7882.286128,1,58.726299
-1709.153478,1,58.78215
-1424.452376,1,58.835042
-172.862447,1,58.881915
-4966.453988,1,58.927794
-4441.42706,1,58.973669
-180.340631,1,59.017546
-2404.209683,1,59.064395
-2737.302418,1,59.113264
-1545.913358,1,59.163131
-90.940682,1,59.212998
-3898.23516,1,59.258875
-1389.268049,1,59.307746
-10147.834115,1,59.364625
-7270.435228,1,59.413463
-253.469899,1,59.463329
-4199.241995,1,59.515194
-1923.976217,1,59.577025
-5314.090617,1,59.629883
-5799.143725,1,59.684742
-2477.960018,1,59.734603
-3943.522407,1,59.781477
-374.656606,1,59.827355
-7582.254279,1,59.875226
-3503.631602,1,59.93008
-7214.939479,1,59.981975
-2342.772961,1,60.031842
-5888.90292,1,60.081675
-1270.841893,1,60.131542
-113.425804,1,60.17845
-1717.829697,1,60.231279
-5446.229014,1,60.27416
-7845.132694,1,60.321035
-5496.357011,1,60.371901
-262.641796,1,60.420768
-78.7653,1,60.469637
-22.664204,1,60.514518
-855.467925,1,60.555408
-6320.339253,1,60.602283
-1473.687935,1,60.653147
-3571.811913,1,60.703015
-4318.467923,1,60.783808
-2323.899352,1,60.927417
-1533.87867,1,61.103967
-717.578911,1,61.3503
-1295.459425,1,61.591646
-222.541112,1,61.755205
-3740.284669,1,61.962652
-5388.277675,1,62.236926
-15635.25876,1,62.541112
-5227.785456,1,62.7775
-3117.587088,1,62.954048
-1593.280266,1,63.108585
-5155.227265,1,63.249207
-1226.769645,1,63.345958
-6233.737755,1,63.417871
-4048.012608,1,63.4877
-2154.876468,1,63.56448
-3144.298162,1,63.715079
-7722.873141,1,63.900597
-5824.126451,1,64.123991
-6923.372427,1,64.376317
-5257.071969,1,64.596775
-11817.555402,1,64.73739
-1276.509824,1,64.814178
-16960.051696,1,64.871434
-730.304392,1,64.942261
-5347.329122,1,65.062924
-220.687414,1,65.268379
-5.619775,1,65.496767
-1570.794592,1,65.612459
-6434.115245,1,65.756073
-1011.574808,1,65.910665
